#separator:semicolon
#html:true
attractive;atrakcyjna
dirty;brudny (adjective)
ugly;brzydki (adjective)
ill, sick;chory (adjective)
unless, I guess;chyba
interessant;ciekawe
I'm glad.;Cieszę się. (expression)
to be happy/enjoy;cieszyć się (verb)
do, does, if, whether, or;czy
clean;czysty (adjective)
Why are you sad today?;Dlaczego jesteś dziś smutna? (expression)
 to phone;dzwonić (verb);to ring
energetic;energiczny (adjective)
fat;gruby (adjective)
intelligent;inteligentny (adjective)
there is only one problem;jest tylko jeden problem (expression)
I am sure;Jestem pewna / pewny
to end, to finish;kończyć (verb)
creative;kreatywny (adjective)
Spanish language teacher;lektorka języka hiszpańskiego (expression)
lazy;leniwy (adjective)
to like;lubić (verb)
pretty;ładna
has a girlfriend ;ma dziewczynę (expression)
you are right;masz rację (expression)
to be right;mieć rację (expression)
mile;mila (noun, Feminine)
pretty;miła
young;młody (adjective)
me too;mnie też (expression)
to speak;mówić (verb)
I speak Polish ;mówię po polsku (expression)
to think;myśleć (verb)
in the corridor;na korytarzu (expression)
surely, certainly;na pewno (adverb)
short;niski (adjective)
all right then;no dobrze (expression)
she teaches German;ona uczy niemieckiego (expression)
to smoke, to burn;palić (verb)
plans to study ;planuje studiować (expression)
 assiduous;pracowity (adjective);hard-working;diligent
break;przerwa (noun, Feminine)
handsome;przystojny (adjective)
sad;smutny (adjective)
spontaneous;spontaniczny (adjective)
likeable, nice;sympatyczny (adjective)
;szczupły (adjective);slim
medium height ;średniego wzrostu (expression)
to dance;tańczyć (verb)
it's great;to świetnie (expression)
It's a joke;to żart (expression)
a little;trochę (Numeral)
your friend;twoja koleżanka (expression)
I'm only thinking;tylko myślę (expression)
talented;uczyć się (verb);to learn; to study utalentowany (adjective)
in a group;w grupie (expression)
jolly, cheerful;wesoły (adjective)
tall, high;wysoki (adjective)
fit;wysportowany (adjective)
healthy;zdrowy (adjective)
from, with;ze
tired;zmęczony (adjective)
with;z/ze
that;że
