17 i pół (expression);17 and a half
akordeon (noun, Masculine);accordion
aktor (noun, Masculine);actor
artystka (noun, Feminine);artist
biznesmen (noun, Masculine);businessman
bo interesuję się... (expression);because I'm interested in...
bo planuje studiować malarstwo (expression);because he/she plans to study painting
Co czytasz? (expression);What do you read?/ What are you reading?
Co lubi robić? (expression);What does he/she like to do?
Co masz?;What do you have?
Co pani lubi robić? (expression);What do you like doing?
Co to jest? (expression);What is it? 
czterdzieści (Numeral);forty
Czym się interesujesz? (expression);What are you interested in?
Czytam książkę biograficzną.;I read a biographical book
dentysta (noun, Masculine);dentist
dentystka (noun, Feminine);dentist (woman) 
dwadzieścia (Numeral);twenty
dziecko (noun, Neuter);child, kid
dziennikarz (noun, Masculine);journalist 
dziewięćdziesiąt (Numeral);ninety
emeryt (noun, Masculine);pensioner
fotograf (noun, Masculine);photographer
Ile ma lat? (expression);How old is he/she/it? 
Ile masz lat? (expression);How old are you?
Ile pan ma lat? (expression);How old are you? 
informatyk (noun, Masculine);IT specialist 
intensywnie uczy się języka polskiego (expression);learns Polish intensively 
interesować się (verb);to be interested in 
inżynier (noun, Masculine);engineer
Jaki on jest? (expression);What is he like?
jest aktorką (expression);she is an actress
jest dobrą studentką (expression);she's a good student
jest piękna (expression);she is beautiful
jest przerwa (expression);there is a break 
jestem też instruktorem tanga (expression);I'm
a tango instructor too
jesteś muzykiem (expression);you're a musician 
kelner (noun, Masculine);waiter
kierowca (noun, Masculine);driver
Kim jesteś z zawodu? (expression);What's your profession?
kim ona jest (expression);who is she?
Kim pani jest z zawodu? (expression);What's your profession?
konkretnie (adverb);particularly
który;which
kucharz (noun, Masculine);cook
lekarka (noun, Feminine);doctor (woman) 
lekarz (noun, Masculine);doctor
lubi malować (expression);likes to paint
lubi pracować (expression);likes to work
ma 44 lata (expression);he/she is 44 
mam 20 lat (expression);I'm 20 years old
muzyk (noun, Masculine);musician
nauczyciel (noun, Masculine);teacher (man)
nie martw się (expression);don't worry
nie znam (expression);I don't know
niestety (adverb);unfortunately
osiemdziesiąt (Numeral);eighty
pięćdziesiąt (Numeral);fifty
piękna (adjective);beautiful
policjant (noun, Masculine);policeman
pracuje w teatrze (expression);she works in a theatre
prawie (adverb);almost
przy stoliku (expression);by the table 
rodzina (noun, Feminine);family
rok (noun, Masculine);year
rolnik (noun, Masculine);farmer 
siedemdziesiąt (Numeral);seventy
siedzą razem (expression);they sit together 
sto (Numeral);hundred
syn (noun, Masculine);son
sześćdziesiąt (Numeral);sixty
tancerz (noun, Masculine);dancer
to biznesmen (expression);it's a businessman 
To dla mnie czarna magia. (expression);This is black magic to me.
to skomplikowane (expression);It's complicated 
trzydzieści (Numeral);thirty
tu jest moja rodzina (expression);this is my family
twoje dziecko (expression);your child
umiesz tańczyć tango (expression);can you dance tango?
urzędnik (noun, Masculine);clerk, office worker 
z zawodu jestem muzykiem (expression);I'm a musician
zawód (noun, Masculine);occupation/profession
zna trochę polski (expression);knows a little Polish
żona (noun, Feminine);wife
