#separator:semicolon
#html:true
to run (verb);biegać
brother (noun, Masculine);brat
to want (verb);chcieć
go to the cinema (expression);chodzić do kina
go to a club (expression);chodzić do klubu
go to a restaurant (expression);chodzić do restauracji
go to the theatre (expression);chodzić do teatru
go to the disco (expression);chodzić na dyskotekę
go to the gym (expression);chodzić na siłownię
go for walks (expression);chodzić na spacery
what do you like to do? (expression);co lubisz robić
what are you doing, sir? (expression);co pan robi
What are you doing, madam? (expression);Co pani robi?
What is your dad doing? (expression);Co robi twój tata?
What are you doing? (expression);Co robisz?
what are you doing after the lesson? (expression);co robisz po lekcji
daughter (noun, Feminine);córka
to read newspapers (expression);czytać gazety
read books and newspapers (expression);czytać książki i gazety
to (przyimek);do
to discuss (verb);dyskutować
host (noun, Masculine);gospodarz
hostess (noun, Feminine);gospodyni
to cook (verb);gotować
to cook dumplings (expression);gotuję pierogi
to play bridge (expression);grać w brydża
to play golf (expression);grać w golfa
to play football (expression);grać w piłkę
to play chess (expression);grać w szachy
to play tennis (expression);grać w tenisa
We're going dancing. (expression);Idziemy tańczyć.
How is it going? (expression);Jak leci?
How small! (expression);Jaki mały!
Sure! (expression);Jasne!
I'm a great dance instructor (expression);jestem świetnym nauczycielem tańca
to ride on horseback (expression);jeździć konno
to ski (expression);jeździć na nartach
to rollerblade (expression);jeździć na rolkach
to ride a bike (expression);jeździć na rowerze
cinema (noun, Neuter);kino
basketball (noun, Feminine);koszykówka
to buy (verb);kupować
has time for (expression);ma czas na
to paint (verb);malować
mum (noun, Feminine);mama
May I? (expression);Mogę?
my daughter (expression);moja córka
my sister (expression);moja siostra
my friends (expression);moje koleżanki
can; to be able to (verb);móc
my brother (expression);mój brat
my dad (expression);mój tata
have to; must (verb);musieć
on the market (expression);na rynku
at the university (expression);na uniwersytecie
on holidays (expression);na wakacjach
I don't do anything (expression);nic nie robię
they don't have time (expression);nie mają czasu
I can't (expression);nie mogę
to be bored (verb);nudzić się
of course, certainly;oczywiście
looks at old photographs (expression);ogląda stare zdjęcia
to watch TV (expression);oglądać telewizję
he writes (expression);on pisze
Do you work here? (expression);Pan tu pracuje?
dumplings (noun);pierogi
football (noun, Feminine);piłka nożna
to write (verb);pisać
I'm writing emails (expression);piszę e-maile
to swim (verb);pływać
to travel (verb);podróżować
to do the shopping (expression);robić zakupy
to take photos (expression);robić zdjęcia
rice (noun, Masculine);ryż
to listen to music (expression);słuchać muzyki
to walk (verb);spacerować
to meet with friends (expression);spotykać się ze znajomymi
It's a pity! (expression);Szkoda!
to search (verb);szukać
I'm looking for information (expression);szukam informacji
to sing (verb);śpiewać
to dance (verb);tańczyć
dad (noun, Masculine);tata
it's very interesting (expression);to bardzo interesujące
It's fantastic! (expression);To fantastycznie!
It's interesting. (expression);To interesujące.
it's a pity (expression);to szkoda
your (Pronoun);twój
to learn foreign languages (expression);uczyć się języków obcych
to know (how) (verb);umieć
can you cook? (expression);umiesz gotować
to practise sport (expression);uprawiać sport
in a cafe (expression);w kawiarni
at the weekend (expression);w weekend
I prefer to play on the computer (expression);wolę grać na komputerze
photo (noun);zdjęcie
