#separator:tab
#html:true
And you?	A ty? (expression)
What is it?	Co to jest? (expression)
What does it mean? 	Co to znaczy? (expression)
something special 	coś specjalnego (expression)
sugar	cukier (noun, Masculine)
Hi!, Hello!	cześć
part	część (noun, Feminine)
four	cztery (Numeral)
See you tomorrow!	do jutra (expression)
Goodbye!	Do widzenia! (expression)
See you! 	Do zobaczenia! (expression)
goodnight	dobranoc (expression)
Good evening!	dobry wieczór (expression)
two	dwa (Numeral)
Good morning! 	Dzień dobry! (expression)
ten	dziesięć (Numeral)
nine	dziewięć (Numeral)
Thank you!	dziękuję (expression)
movie	film (noun, Masculine)
where	gdzie
Where is... ?	Gdzie jest... ? (expression)
Where is the toilet?	Gdzie jest toaleta? (expression)
gratis	gratis (noun, Masculine)
tea	herbata (noun, Feminine)
first name	imię (noun, Neuter)
What is your name?	Jak się nazywasz? (expression)
What is your name?	Jak się nazywasz? (expression)
What is your name, sir?	Jak się Pan nazywa? (expression)
one	jeden (Numeral)
I am	jestem (verb)
I am Agnieszka. 	Jestem Agnieszka. (expression)
"I&#x27;m Angela."	Jestem Angela. (expression)
I am a teacher	jestem nauczycielką
coffee	kawa (noun, Feminine)
computer	komputer (noun, Masculine)
lesson, class	lekcja (noun, Feminine)
My name is ..	mam na imię (expression)
I have a question. 	mam pytanie (expression)
Nice to meet you.	miło mi (expression)
Nice to meet you.	Miło mi cię poznać! (expression)
me too	mnie również (expression)
on the left	na lewo (expression)
on the right	na prawo (expression)
for now	na razie (expression)
See you later! 	Na razie! (expression)
nationality 	narodowość (noun, Feminine)
teacher (woman) 	nauczycielka (noun, Feminine)
surname	nazwisko (noun, Neuter)
My name is...	nazywać się (verb)
my name is	nazywam się (expression)
no	nie
"I don&#x27;t remember. "	nie pamiętam (expression)
"I don&#x27;t understand. "	nie rozumiem (expression)
"I don&#x27;t know."	nie wiem (expression)
eight	osiem (Numeral)
to open	otworzyć (verb)
Bye!	pa (expression)
to bake	piec (verb)
stove	piec (noun, Masculine)
five	pięć (Numeral)
please	proszę (expression)
write, please 	proszę napisać (expression)
Repeat, please. 	proszę powtórzyć (expression)
read, please 	proszę przeczytać (expression)
spell it, please	proszę przeliterować (expression)
please introduce yourself	proszę się przedstawić (expression)
excuse me, I am sorry 	przepraszam (expression)
I understand	rozumiem (expression)
too	również
are	są (expression)
secretary	sekretarka (noun, Feminine)
seven	siedem (Numeral)
kompliziert	skomplikowane
walk	spacer (noun, Masculine)
meeting, appointment 	spotkanie (noun, Neuter)
student (he) 	student (noun, Masculine)
student (she)	studentka (noun, Feminine)
six 	sześć (Numeral)
yes	tak
(over) there 	tam
three 	trzy (Numeral)
here	tu
here	tutaj
phonetic workshop	warsztaty fonetyczne (expression)
water	woda (noun, Feminine)
free, slow	wolny (adjective)
trip	wycieczka (noun, Feminine)
to close, to shut	zamknąć (verb)
And you, sir?	A pan? (expression)
"Oh, it&#x27;s you!"	A, to pan! (expression)
And where do you live?	A ty gdzie mieszkasz? (expression)
And how are you?	A u ciebie? (expression)
And how are you, madam?	A u pani? (expression)
address	adres (noun, Masculine)
path, avenue	aleja (noun, Feminine)
Angela is there. 	Angela jest tam. (expression)
because	bo
...because my girlfriend is from Poland	...bo moja dziewczyna jest z Polski (expression)
because my boyfriend is from Poland	bo mój chłopak jest z Polski (expression)
to be	być (verb)
"What&#x27;s new?"	Co nowego? (expression)
"What&#x27;s up?"	Co słychać? (expression)
"What&#x27;s new with you? "	Co u ciebie? (expression)
How are you? 	Co u pani słychać? (expression)
fourteen	czternaście (Numeral)
to read	czytać (verb)
I read	czytam
why	dlaczego
Why do you learn Polish?	Dlaczego uczy się pani polskiego? (expression)
Why do you learn Polish?	Dlaczego uczysz się polskiego? (expression)
well	dobrze (adverb)
house number... 	dom numer... (expression)
twenty	dwadzieścia (Numeral)
twelve	dwanaście (Numeral)
train station 	dworzec (noun, Masculine)
nineteen 	dziewiętnaście (Numeral)
Where is Angela?	Gdzie jest Angela? (expression)
Where are you? Gdzie mieszkasz? (expression)	Gdzie jesteś? (expression)
Where do you live in Cracow?	Gdzie mieszkasz w Krakowie? (expression)
Where is she? Gdzie pan mieszka? (expression)	Gdzie ona jest? (expression)
